date,registration,fatalities,summary,all_aboard,cat,location,Country,Cleaned Country
1935-01-31,daren,11,"Crashed full speed into a hill, 450 feet high in rain and fog. Icing.",11,A1,near Szczecin,near Szczecin,near Szczecin
1935-04-06,phafl,7,"Crashed after the pilot tried to maintain visual contact with the ground in heavy fog and snow. The plane was named ""Leeuwerik."" The pilot was unable to distinguish the ground from the surroundings and to establish his real position to continue then flight in a safely manner.",7,A1,near Brilon,near Brilon,near Brilon
1935-05-06,nc13785,5,"The plane crashed while en route from Albuquerque to Kansas City. After encountering fog and poor visibility, the plane was diverted to Kirksville where witnesses reported the low flying aircraft made contact with the ground and crashed. Whether the plane struck the ground while the pilot was attempting to make an emergency landing or because the available fuel supply had been exhausted, or for other reasons, could not be determined. New Mexico Senator Bronson M. Cutting, 46, killed. Improper clearance of the airplane from Albuquerque by the company's ground personnel when the plane's two-way radio was not functioning properly.",14,A1,"near Atlanta, MO",MO,MO
1935-07-14,phajq,6,The plane lost altitude while attempting an emergency landing after taking off and losing two engines. The wing hit a dyke and the plane burst into flames.,20,A1,near Amsterdam-Schiph...,near Amsterdam-Schiph...,near Amsterdam-Schiph...
1935-07-20,phakg,13,"Crashed into a mountain near St. Bernard Pass in Switzerland. Mountains obscured by clouds. The crew flew through the wrong valley which ended in a dead end. Icing condtions,.",13,A1,Pian San Giacomo,Pian San Giacomo,Pian San Giacomo
1935-10-02,vhurt,5,Crashed in the Bass Strait. Went in to an uncontrollable spin following an engine failure.,5,A1,"near Flinders Island,...",...,...
1935-10-21,nc725k,1,The plane lost the left engine shortly after taking off. The pilot tried to make an emergency landing but was caught in a downdraft and the plane crashed.,6,A1,"Troy, NY",NY,United States of America
1935-12-10,ooagn,11,"While flying low, the aircraft hit tree tops, stalled and crashed in flames into a wooded area 13 km short of the runway, The pilot did not request bearings from the airport and tried to navigate on his own.",11,A1,Tatsfield,Tatsfield,Tatsfield
1935-12-31,gaasj,12,"The aircraft ran out of fuel and crashed off Alexandria. The plane was named ""The City of Khartoum.""",13,A1,near Alexandria,near Alexandria,near Alexandria
1936-01-14,624,13,The float plane crashed after experiencing unknown technical difficulties while attempting to land.,16,A1,near Tres Esquinas Ai...,near Tres Esquinas Ai...,near Tres Esquinas Ai...
1936-01-14,nc14274,17,"Flew into trees and disintegrated. The cause of the crash could not be determined.  Possible causes include, passenger interference, one fuel tank running dry, flying too low and the co-pilot alone at the controls.",17,A1,"Goodwin, AR",AR,AR
1936-04-07,nc13721,12,"Crashed into Chestnut Ridge in fog. The poor  judgment on the part of the pilot for flying by visual ground observation methods after having descended through the clouds and overcast in mountainous terrain at a point unknown to him. Because of clouds and poor visibility, this required flying close to the ground whereas the safest method under such circumstances was to climb into or above the overcast to a safe altitude and determine the location of the plane by instruments and radio.",14,A1,"near Fairchance, PA",PA,PA
1936-04-17,dasor,3,Deviated from the prescribed course and hit a mountain in poor weather conditions. Navigation error by the crew.,5,A1,Orvin (Ilfingen),Orvin (Ilfingen),Orvin (Ilfingen)
1936-06-16,lndae,7,"While cruising, the aircraft crashed into the south face of Mt. Lyhesten in fog.",7,A1,"Mount Lihesten, ...",...,...
1936-08-12,gadeb,2,The mail plane crashed at night under unknown circumstances.,2,A1,near Altenkirchen,near Altenkirchen,near Altenkirchen
1936-08-22,gabfa,2,"While attempting to land, the plane hit high waves and broke up. Strong lateral winds while landing on rough sea.",11,A1,"Mirabella Bay, C...",C...,C...
1936-09-24,irodi,9,"Suffered engine failue on the approach,struck the mast of a ship and burst into flames.",10,A1,near Benghazi,near Benghazi,near Benghazi
1936-09-25,gacox,2,Crashed under unknown circumstances while delivering mail.,2,A1,near Dungeness,near Dungeness,near Dungeness
1936-11-17,dasui,4,"On approach to Nuremberg Airport in foggy conditions, the aircraft deviated from the prescribed course and was too low when it hit tree tops and crashed in a wooded area. Pilot error.",16,A1,near Lauf an der Pegnitz,near Lauf an der Pegnitz,near Lauf an der Pegnitz
1936-11-19,gaeot,2,The mail plane attempted to land in strong winds and poor weather conditons. Pilot error.,4,A1,"Pound Hill, Tilg...",Tilg...,Tilg...
1936-12-09,phakl,15,The aircraft crashed into houses while attempting to take off in heavy fog. A stewardess and the radio operator survived. Aircraft designer Juan de la Cierva killed. Pilot error. Piilot did not maintain directional control of the aircraft and abort the takeoff,17,A1,London-Croydon A...,London-Croydon A...,London-Croydon A...
1936-12-19,nc13732,0,"Crashed into trees in poor weather while attempting to land at Newark. Error on the part of the pilot for attempting to get down under the overcast without first definitely proving his position.  Improper dispatching for clearing the flight into an area of predicted bad weather, particularly when the area cleared through did not permit a safe return, and static conditions encountered which rendered reception of the radio range signals over the airplane's range receivers unintelligible.",11,A1,"near Milford, PA",PA,PA
1937-01-26,ooagr,12,While attempting to land the aircraft went out of control and crashed.,12,A1,near Oran-es Senia Ai...,near Oran-es Senia Ai...,near Oran-es Senia Ai...
1937-02-09,nc16073,11,"The aircraft crashed into San Francisco Bay, approximately 2 miles offshore, while on approach. The accidental jamming of the elevator controls as the result of the co-pilot's microphone being inadvertently dropped and lodged between the elevator control column and the seat rail in such a way that the crew was unable to prevent rapid descent of the airplane. First accident involving a DC-3.",11,A1,near San Francisco Mu...,near San Francisco Mu...,near San Francisco Mu...
1937-03-24,gadva,5,Crashed into trees on a mountainside in a snowstorm.,6,A1,near Ouroux,near Ouroux,near Ouroux
1937-03-25,nc13730,13,While attempting to land the aircraft banked left and crashed short of the runway. Heavy icing which rendered the plane uncontrollable.,13,A1,"near Clifton, PA",PA,PA
1937-07-28,phalf,15,The aircraft crashed  into a potato field after possibly being struck by lightning and after an in-flight fire.,15,A1,near Beert,near Beert,near Beert
1937-08-02,isusa,9,"Crashed into a building on takeoff. The accident happened after the crew abandoned the approach and attempt an overshoot maneuver,",9,A1,Wadi Halfa Airpo...,Wadi Halfa Airpo...,Wadi Halfa Airpo...
1937-08-02,nc15065,14,The flying boat plunged into the ocean 20 miles off of Cristobal. The plane probably struck the water at high speed and was destroyed by an immediate explosion and fire.,14,A1,near CristÃ³bal,near CristÃ³bal,near CristÃ³bal
1937-08-08,nc16930,3,Forced to ditch into the sea due to bad weather. One wing broke off due to high waves and 8 passengers hung on to the remaining wing until rescued. The aircraft was named Chekiang.,11,A1,"Chilang Point, B...",B...,B...
1937-08-10,nc13739,4,The plane struck a power pole while taking off from Daytona and crashed to the ground 600 feet from the first point of impact. The absence of reasonable notice to those operating and navigating the aircraft that an object had been erected which constituted a hazard to the aircraft taking off.,9,A1,Daytona Beach Mu...,Daytona Beach Mu...,Daytona Beach Mu...
1937-08-23,nc14298,3,The cargo plane crashed and burned in a field while en route after entering dense fog.,3,A1,"near San Luis, SL",SL,SL
1937-10-06,phals,4,"While in initial climb, the left engine failed. The crew decided to return for a safe landing but the aircraft hit  tree tops, stalled and crashed. Bronislaw Hubermann, celibrated Polish violinist was sightly injured. The aircraft was named ""Specht"".",11,A1,Palembang-Talang...,Palembang-Talang...,Palembang-Talang...
1937-10-17,nc16074,19,"The plane crashed into the side of a mountain (Humpy Ridge)  in level flight at 10,000 ft. under adverse weather conditions. Static conditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. The continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. A change in the weather caused by the approach of an unpredicted cold front.",19,A1,"near Knight, WY",WY,United States of America
1937-11-16,ooaub,11,"The aircraft was flying from Cologne to London and should have made a scheduled stop at Brussel's Haren airport.  However, Brussels was shrouded in fog and the pilot was advised to fly on to Ostend. Weatherconditions were poor in Ostend as well and the aircraft hit a factory chimney while flying on approach to Ostend Stene airport.  All on board were killed including the Grand Duke and Duchess of Hesse who were traveling to London for a minor royal wedding. An airport employee was blamed for not guiding the pilot down in conditions of poor visibility.",11,A1,near Stene Airfield,near Stene Airfield,near Stene Airfield
1937-11-26,dagav,3,Engine failure on takeoff caused the cargo plane to stall and crash into a hanger.,3,A1,London-Croydon A...,London-Croydon A...,London-Croydon A...
1937-12-05,gaduz,2,The flying boat crashed while attempting to take off. The aircraft was named Cygnus.,19,A1,Brindisi,Brindisi,Brindisi
1937-12-05,gaduz,2,"Stalled during takeoff and crashed into the sea. Wrong flap setting for takeoff, causing the aircraft to stall.",8,A1,Brindisi,Brindisi,Brindisi
1937-12-08,faotz,2,Crashed in poor weather conditions while flying too low hitting Pas de la Motte peak.,7,A1,near Saint-Sauveur,near Saint-Sauveur,near Saint-Sauveur
1938-01-04,dabur,6,Crashed short of the runway while attempting to land in snow and icing conditions.,6,A1,near Frankfurt,near Frankfurt,near Frankfurt
1938-01-10,nc17388,10,"The aircraft crashed 12 miles northeast of Bozeman after experiencing structural failure of the tail. There was severe turbulence reported in the area at the time of the accident. The structural failure of the upper vertical fins and rudders due to flutter ""natural resonance, or period of vibration"" which resulted in the separation of the rudder and fins and loss of control of the aircraft.",10,A1,"near Bozeman, MT",MT,MT
1938-01-11,nc16734,7,"The aircraft exploded in mid-air as the crew attempted to dump fuel for an emergency landing at Pago Pago. Neither the plane or seven crew members were ever found. The aircraft was named ""Samoan Clipper.""  Pan American's first and chief pilot, Captain Edwin C. Musick, killed.",7,A1,"near Pago Pago, Ameri...",Ameri...,Ameri...
1938-02-13,ioria,14,Disappeared over the Mediterranean Sea while flying in a storm.,14,A1,"near Sardinia, Italy",Italy,Italy
1938-02-22,dapar,3,The mail plane crashed in fog within a few miles of it's destination near Bourget Airport.,3,A1,near Pontoise,near Pontoise,near Pontoise
1938-03-01,nc13789,9,Crashed into the high Sierra after encountering a severe weather front while en route. The pilot radioed that ice was forming on the DC-2's wings as it neared the Tehachapi Mountains near Bakersfield and that he was turning back towards the north to land at Fresno. The aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. The wreckage was not found until 6/12/38.,9,A1,"near Wawona, CA",CA,United States of America
1938-03-07,fanqr,7,Crashed and burst into flames shortly after taking off from Dum Dum.,7,A1,"Datia, Madhya Pr...",Madhya Pr...,Madhya Pr...
1938-03-23,faqbb,8,The mail plane crashed into Cinq Croix peak in  the Pyrenees mountains while en route.,8,A1,French PyrÃ©nÃ©es,French PyrÃ©nÃ©es,French PyrÃ©nÃ©es
1938-05-16,nc17394,9,"Struck Stroh peak at 3,300 feet in Mint Canyon, 27 minutes after taking off from Burbank Airport. The aircraft struck a ridge, bounded over a ravine and struck a second ridge, broke up and burst into flames. The crew did not follow the prescribed procedures and was cruising at an unsafe altitude to overfly the mountainous region.",9,A1,"near Saugus, CA",CA,United States of America
1938-05-22,ppcbc,6,Shortly after taking the plane stalled and crashed into Santos estuary.,17,A1,"Santos Airport, ...",...,...
1938-05-24,nc18108,10,An uncontrollable fire developed in the right engine and the pilot decided to make an emergency landing rather than try to reach Cleveland Airport. The plane struck trees in level flight 8.5 miles east of Cleveland Airport. A fire in the right engine accessory section which resulted from the failure of a cylinder barrel and was fed from the right engine oil supply.,10,A1,near Cleveland Munici...,near Cleveland Munici...,near Cleveland Munici...
1938-06-19,nc14272,4,"An hour after leaving Santiago, radio contact with the flight was lost, as it had crashed in the high Andes.  It was not found until February 1941, by indians, who plundered the aircraft and the dead passengers looking for valuables.",4,A1,Mt Mercedario,Mt Mercedario,Mt Mercedario
1938-07-08,nc17383,1,"While taking off from Billings, the airplane left the ground in a stalled condition from which the pilot attempted to recover by use of full emergency power. Emergency power was not available because of improper adjustment of the stop which had been placed on the quadrant of the propeller pitch control levers, preventing the levers from going to the full low pitch position. As a result of the stalled condition, the airplane fell off on the right wing and crashed at a point 1,100 feet beyond the NE runway, the pilot having cut the switch just prior to the impact.",10,A1,Billings Municip...,Billings Municip...,Billings Municip...
1938-07-14,ivolo,20,The flying boat crashed into the Tyrrhenian Sea after the collapse of a wing.,20,A1,"near Terranova, Sardi...",Sardi...,Sardi...
1938-07-22,spbng,14,Crashed in strong turbulence and after being struck by lightning .,14,A1,"Negrileasa, Stul...",Stul...,Stul...
1938-07-27,gabtg,4,"Flew into a hillside soon after takeoff from Kisumu. The ship was named ""Amalthea.""",4,A1,near Kisumu,near Kisumu,near Kisumu
1938-08-10,hafnc,12,Crashed in a field after penetrating a thunderstorm. The plane was carrying Hungarian journalists.,12,A1,near Debrecen Airport...,near Debrecen Airport...,near Debrecen Airport...
1938-08-15,ppcat,9,"Flew into a mountain wave after taking off, went into a dive and crashed into Guanabara Bay.",9,A1,Guanabara Bay,Guanabara Bay,Guanabara Bay
1938-08-18,spbnj,0,Caught fire after a ground looping.,7,A1,Bucharest-Baneas...,Bucharest-Baneas...,Bucharest-Baneas...
1938-08-24,32,14,"While en route from Hong Kong to Chungking, the aircraft was shot down by Japanese military fighters. The aircraft was named Kweilin. The plane was rebuilt to fly again only to be shot down again by Japanese military.",17,C2,Wangmoon,Wangmoon,Wangmoon
1938-10-01,davfb,13,"While flying over the Alps, the aircraft disappeared. A search was unsuccessful and  no trace of the aircraft nor the occupant was found. A mountain guide found debris 14 years later, on the slope of the Pizzo Cengalo on the border with Switzerland. Some mail bags were recovered and sent to the local post office.",13,A1,Grisons (GraubÃ¼...,Grisons (GraubÃ¼...,Grisons (GraubÃ¼...
1938-10-10,ooagt,20,"The aircraft broke-up in midair and crashed to the ground.  A propeller may have broken, tearing loose an engine.",20,A1,Soest,Soest,Soest
1938-10-25,vhuyc,18,Crashed into Mt. Daodenong in heavy fog while en route. Procedural errors by the pilot.,18,A1,"Mt Dandenong, VIC",VIC,VIC
1938-11-14,phary,6,The aircraft flew into the ground during approach in poor visibility. The first officer was commander of the military flying school Soesterberg. Pilot descended below a safe height during the approach.,19,A1,Amsterdam-Schiph...,Amsterdam-Schiph...,Amsterdam-Schiph...
1938-11-18,cftcl,2,The mail plane crashed several minutes after taking off from Regina,2,A1,"near Regina Airport, ...",...,...
1938-11-26,daivi,12,During takeoff the aircraft hit a palm tree and burst into flames due to double engine failure.,15,A1,Bathurst (Banjul),Bathurst (Banjul),Bathurst (Banjul)
1938-11-27,gaetw,4,The flying boat crashed on Lake Ramadi at night in a sandstorm.,6,A1,Lake Habbaniyah,Lake Habbaniyah,Lake Habbaniyah
1938-11-29,nc16066,5,"The aircraft ran out of fuel and ditched into the ocean a little less than a mile offshore. Failure of the pilot to definitely establish the position of the aircraft through standard orientation procedures within a reasonable time after intersecting a leg of the Oakland radio range and of Company flight dispatchers, charged with the responsibilities of directing the operation of the trip, to properly safeguard the flight, resulting in forced landing of the aircraft at sea due to exhausted fuel supply.",7,A1,"near Point Reyes, CA",CA,United States of America
1938-12-09,phape,4,Whle taking off the aircraft stalled and struck a dyke near Schiphol Airport and caught fire.,4,A1,near Amsterdam-Schiph...,near Amsterdam-Schiph...,near Amsterdam-Schiph...
1939-01-07,hbita,5,The aircraft crashed onto a field losing both wings while attempting to land in low overcast.,17,A1,near Senlis,near Senlis,near Senlis
1939-01-13,ppcay,10,"In reduced visibility and strong winds, the seaplane crashed into the side of Mt. Chambe while attempting to land at Rio de Janerio.",10,A1,"Rio Bonito, RJ",RJ,RJ
1939-01-13,nc17389,4,"The aircraft crashed 2,650 feet past the runway boundry after taking off. A fire of considerable intensity developed, prior to the crash, in the cockpit of the aircraft, in the immediate vicinity of the gasoline cross-feed valve. It  was not possible to determine the exact origin and source of the fire.",4,A1,Miles City Munic...,Miles City Munic...,Miles City Munic...
1939-01-18,vhabi,4,"The mail plane failed to gain height after taking off, stalled and crashed into the Katherine River during a storm.",4,A1,near Katherine-Tindal...,near Katherine-Tindal...,near Katherine-Tindal...
1939-01-21,gaduu,3,"While en route, the aircraft ditched, broke in two  and sank in the Atlantic Ocean, 285 miles SE of Long Island New York. Complete loss of power to the two inner engines and partial loss of power to the two outer engines due to carburetor icing. The aircraft was named ""Cavalier.""",13,A1,"near Port Washington,...",...,...
1939-03-14,ooaua,3,The cargo plane stalled and crashed into a field short of the runway.,3,A1,Sint-Stevens-Woluwe,Sint-Stevens-Woluwe,Sint-Stevens-Woluwe
1939-03-18,nx19901,10,"The aircraft crashed after the tail broke off. Dutch engineer A.G. von Baumhauer among those killed.  He was a famous helicopter pioneer who first came up with the tail rotor/main rotor configuration which is in use today. Strructural failure of the wings and horizontal tail surfaces due t o the imposition of loads thereon in excess of those for which they were designed, the failure occurring in an abrupt pull-out from a dive following recovery from an inadvertent spin.",10,A1,"near Alder, WA",WA,WA
1939-03-26,nc13727,8,"An explosion in an engine, just after takeoff blew the two halves of the cowl open creating excessive drag and causing the left wing to drop. The captain tried to circle back, but the wing impacted an embankment along a section line road and crashed about 100 yards inside the boundary. Either the hot metal of the engines or some other source ignited the fuel spilling out of the ruptured tank and the cabin was quickly engulfed in flames. The initial cause of the explosion was a cylinder blow out which was a problem with that particular engine and had caused problems in two other aircraft, a TWA and United DC-2, both of which landed safely.",12,A1,Oklahoma City Mu...,Oklahoma City Mu...,Oklahoma City Mu...
1939-05-01,gadvd,2,After an aborted landing the plane hit the water and came to rest off Ilha de Mocambique island.,4,A1,"Lumbo lagoon, Il...",Il...,Il...
1939-05-02,faric,9,Crashed and burned in a mountainous area due to icing.,9,A1,near Argana,near Argana,near Argana
1939-08-04,daujg,7,Crashed in the Llaveria mountains in heavy fog and caught fire. The plane hit the highest peak of the mountains.,7,A1,Tivissa,Tivissa,Tivissa
1939-08-13,nc16933,14,"The plane lost power from the left engine, yawed to the left, and started a descending turn in the same direction. The plane continued to lose altitude and turn at a sharper and steeper angle until it struck a caisson anchored at right angles to a small island in the harbor immediately adjacent to its landing approach path.   Loss of power from the left engine during the landing approach, necessitating an attempted landing under extremely hazardous conditions.",16,A1,near Rio de Janeiro-S...,near Rio de Janeiro-S...,near Rio de Janeiro-S...
1939-08-30,dafop,7,The aircraft crashed while taking off from Hanover. Visibility was poor because of low fog covering the runway. The pilot was searching for the proper flight path when the plane veered towards a building while still 40 meters above the ground. The pilot tried to raise the plane while trying to turn left at the same time but lost control and crashed and the plane caught fire.The passengers were pilots of Lufthansa.,7,A1,near Hannover,near Hannover,near Hannover
1939-12-21,gafyu,5,"Ditched into the sea, 300 miles NW of Alexandria, Egypt. A ship rescued six survivers.",8,A1,near Alexandria,near Alexandria,near Alexandria
1940-01-22,pkafo,8,Crashed into the sea shortly after take-off. Cause unknown,9,A1,near Denpasar-Ngurah ...,near Denpasar-Ngurah ...,near Denpasar-Ngurah ...
1940-02-10,ileal,10,Crashed and burned on a hill side in fog. Prior to crashing the crew reported ice on the wings.,10,A1,Aiello Calabro,Aiello Calabro,Aiello Calabro
1940-03-01,gaagx,8,"Crashed in the Persian Gulf while en route with out a trace. The aircraft was named ""Hannibal.""",8,A1,"near Dibba, Oman [Gul...",Oman [Gul...,Oman [Gul...
1940-06-14,ohall,9,"The plane was en route when it was shot down by two Soviet Tupolev SB-2 bombers. The aircraft  crashed 2-3 nm offshore of Prangli Island near Keri Lighthouse. The aircraft was named ""Kaleva.""",9,C1,near Keri Island [Gul...,near Keri Island [Gul...,near Keri Island [Gul...
1940-06-20,fartd,1,Inadvertently shot down by French anti-aircraft fire.,1,C1,near Ouistreham,near Ouistreham,near Ouistreham
1940-07-07,faqba,4,Shot down by a Japanese military fighter.,4,C1,Gulf of Tonkin,Gulf of Tonkin,Gulf of Tonkin
1940-08-09,daiav,2,No cause was described except it being pilot error.,13,A1,near LÃ¤mershagen,near LÃ¤mershagen,near LÃ¤mershagen
1940-08-31,nc21789,25,"The aircraft was flying through a thunderstorm in turbulence when the it nosed over and plunged to earth near Short Hill Mountain.  Disabling of the pilots by a severe lightning discharge in the immediate neighborhood of the airplane, with resulting loss of control. With limited accident investigation tools at the time, the most likely cause was the plane flying into windshear.  U.S. Senator Ernest Lundeen from Minnesota killed.",25,A1,"near Lovettsville, VA",VA,VA
1940-10-29,daaih,2,Hit the ground short of the runway in reduced visibility.,15,A1,Berlin-Tempelhof...,Berlin-Tempelhof...,Berlin-Tempelhof...
